"","V1"
"1",15.4996576427714
"2",15.4994921682138
"3",15.4993494325996
"4",15.4992253345309
"5",15.4991180713749
"6",15.4990249549554
"7",15.4989443801868
"8",15.4988744905202
"9",15.498813976755
"10",15.4987615118583
"11",15.3160116206386
"12",15.3136248861114
"13",15.3113730875202
"14",15.3095400198693
"15",15.3078756972144
"16",15.3064824059811
"17",15.3052436995703
"18",15.3041905581515
"19",15.3032650158183
"20",15.3024713846968
"21",15.1996819155082
"22",15.1968424159281
"23",15.194317855073
"24",15.1921715511918
"25",15.1902852525313
"26",15.1886678216818
"27",15.1872553452513
"28",15.1860384819602
"29",15.1849795302381
"30",15.1840648614006
"31",14.8906244792875
"32",14.8849481208221
"33",14.8799677431962
"34",14.8756919659896
"35",14.8719614353335
"36",14.8687453508403
"37",14.8659480340953
"38",14.863530945321
"39",14.861432158855
"40",14.8596163634695
"41",14.6965748970709
"42",14.6929402111635
"43",14.6896665211073
"44",14.6869097415327
"45",14.6844696101474
"46",14.6823882639646
"47",14.680563525107
"48",14.6789960446201
"49",14.6776290313126
"50",14.6764501594509
"51",14.7926130383488
"52",14.7937479799878
"53",14.7945817019745
"54",14.7954003998195
"55",14.7960478920715
"56",14.7966487609689
"57",14.797143812076
"58",14.7975892409823
"59",14.7979646181754
"60",14.7982966931194
"61",14.800438806955
"62",14.8006530663531
"63",14.8008359957724
"64",14.8009962585136
"65",14.8011339989484
"66",14.8012540767899
"67",14.8013576582632
"68",14.8014477119124
"69",14.8015255508379
"70",14.8015931225817
"71",14.8995743514574
"72",14.9011133998548
"73",14.9025145138678
"74",14.9036851614129
"75",14.9047274559395
"76",14.9056126503267
"77",14.9063912225267
"78",14.9070584317478
"79",14.9076413466482
"80",14.9081433733017
"81",14.9252839710335
"82",14.9263569177897
"83",14.9270169354758
"84",14.9277622781556
"85",14.9282965877323
"86",14.9288312931512
"87",14.9292484928861
"88",14.9296396596044
"89",14.9299595321465
"90",14.930248969461
"91",14.9031682244049
"92",14.9022746978252
"93",14.9014810209356
"94",14.9008057940105
"95",14.9002126709656
"96",14.8997038958566
"97",14.8992597169054
"98",14.898876971547
"99",14.8985439468913
"100",14.898256263719
"101",14.8996599432746
"102",14.8994956740465
"103",14.8993537049277
"104",14.8992304497591
"105",14.899123802042
"106",14.8990312928161
"107",14.8989511966506
"108",14.8988817522624
"109",14.8988216046754
"110",14.8987694697145
"111",14.9569955055555
"112",14.9591298890824
"113",14.96106853856
"114",14.962691023452
"115",14.9641338005596
"116",14.9653602500174
"117",14.9664382279871
"118",14.9673624894517
"119",14.9681696740851
"120",14.9688650453862
"121",14.9236397506507
"122",14.9238744821338
"123",14.9237720248702
"124",14.9238799330461
"125",14.9238469499913
"126",14.9238997105334
"127",14.923893119335
"128",14.9239210464969
"129",14.9239236132775
"130",14.9239397486301
"131",14.7969866332094
"132",14.795484398413
"133",14.7941668946495
"134",14.7930354413112
"135",14.79204849391
"136",14.7911975056153
"137",14.7904574169957
"138",14.7898178666157
"139",14.7892625755973
"140",14.7887821331381
"141",14.63077077236
"142",14.6268745408702
"143",14.6232585943068
"144",14.620279605179
"145",14.6175991110081
"146",14.61534024002
"147",14.6133419003327
"148",14.6116367109786
"149",14.6101421944901
"150",14.6088580997463
"151",14.5982441602461
"152",14.5973968306808
"153",14.5966631853742
"154",14.5960271133415
"155",14.5954761898812
"156",14.5949986614813
"157",14.5945849786996
"158",14.5942264585437
"159",14.5939158397821
"160",14.5936466616513
"161",14.284243723267
"162",14.2806271823652
"163",14.2773557802611
"164",14.2746096228241
"165",14.2721731395967
"166",14.2700985274812
"167",14.2682773260415
"168",14.2667143883278
"169",14.2653503611429
"170",14.2641746878254
"171",14.2968723811357
"172",14.2971000475929
"173",14.2973901044146
"174",14.2975817728156
"175",14.2977862247069
"176",14.2979387076881
"177",14.2980867029198
"178",14.2982047368081
"179",14.2983135759009
"180",14.2984036652751
"181",14.1981404743442
"182",14.1971151840075
"183",14.1962521345358
"184",14.1954879852986
"185",14.1948363383405
"186",14.1942649373411
"187",14.1937741549405
"188",14.1933461001832
"189",14.1929769834466
"190",14.1926559886483
"191",14.1663888151782
"192",14.1658433414069
"193",14.1655269839551
"194",14.1651523473684
"195",14.1648923604712
"196",14.1646255141449
"197",14.1644210215846
"198",14.1642266380688
"199",14.1640692585892
"200",14.1639257797701
"201",14.098556557869
"202",14.0978326507027
"203",14.0971945387455
"204",14.0966485859079
"205",14.0961710313559
"206",14.0957601125148
"207",14.0954021953169
"208",14.0950932514231
"209",14.0948247834847
"210",14.0945926482757
"211",14.1241699304418
"212",14.1246848058397
"213",14.1248452187101
"214",14.1251679631785
"215",14.1253294590214
"216",14.1255453841988
"217",14.1256836175119
"218",14.1258348222929
"219",14.125945632919
"220",14.1260546466209
"221",14.2008474560264
"222",14.2021850123178
"223",14.2033232373839
"224",14.2043228716359
"225",14.2051804678924
"226",14.2059291023922
"227",14.2065742442863
"228",14.2071355466101
"229",14.2076204479027
"230",14.2080415613871
"231",14.2004193275277
"232",14.200622155833
"233",14.200797022136
"234",14.2009491136275
"235",14.2010805353928
"236",14.2011946482206
"237",14.20129337601
"238",14.2013790213408
"239",14.2014531707203
"240",14.2015174616806
"241",14.1972448178884
"242",14.1975077218334
"243",14.1978388265213
"244",14.1980593014116
"245",14.1982930624959
"246",14.198468145715
"247",14.198637522365
"248",14.1987729269222
"249",14.1988975614224
"250",14.19900085934
"251",14.1913414728872
"252",14.1918990513676
"253",14.1922932127822
"254",14.1926919777585
"255",14.1930007102745
"256",14.1932918926224
"257",14.1935289849899
"258",14.193744212864
"259",14.1939244150874
"260",14.1940846081722
"261",14.0982609122126
"262",14.0973930871938
"263",14.0966488803827
"264",14.0959990279602
"265",14.0954391404353
"266",14.0949519303917
"267",14.0945310894462
"268",14.0941655750755
"269",14.0938494048897
"270",14.0935750890461
"271",14.2674020093265
"272",14.2700377977534
"273",14.2725433194356
"274",14.274571855399
"275",14.2764212326663
"276",14.2779647904901
"277",14.2793401881784
"278",14.2805076028697
"279",14.2815348451734
"280",14.2824148750872
"281",14.2670077506017
"282",14.2680002435603
"283",14.2691887014787
"284",14.2700072790728
"285",14.2708524142108
"286",14.2714973742686
"287",14.2721124090843
"288",14.2726092141814
"289",14.2730629286559
"290",14.273441134421
"291",14.2650987412005
"292",14.2665847468943
"293",14.2681097269217
"294",14.2692784920865
"295",14.2703893879904
"296",14.271288860653
"297",14.2721088497563
"298",14.2727932688019
"299",14.2734031075607
"300",14.2739207394934
"301",14.1996280645573
"302",14.1994417748954
"303",14.1992855827979
"304",14.1991468794124
"305",14.1990288547122
"306",14.1989251953742
"307",14.1988362684016
"308",14.1987586378141
"309",14.1986917404368
"310",14.198633535809
"311",14.1999456889808
"312",14.1999194032605
"313",14.1998967657151
"314",14.1998770607333
"315",14.1998600438317
"316",14.1998452616263
"317",14.1998324765865
"318",14.1998213830028
"319",14.1998117802131
"320",14.1998034530337
"321",14.1999922243154
"322",14.1999884683811
"323",14.1999852262035
"324",14.1999824089012
"325",14.1999799728073
"326",14.199977858638
"327",14.1999760288155
"328",14.1999744419092
"329",14.1999730677229
"330",14.1999718764238
"331",14.2004181337085
"332",14.1997881875084
"333",14.1993288625006
"334",14.1988752128971
"335",14.1985179066822
"336",14.1981852884039
"337",14.1979118714979
